k,weights,train_accuracy,validation_accuracy
1,uniform,1.0,0.9090909090909091
2,uniform,0.9809523809523809,0.8636363636363636
3,uniform,0.9714285714285714,0.9090909090909091
4,uniform,0.9619047619047619,0.9090909090909091
5,uniform,0.9809523809523809,0.9090909090909091
6,uniform,0.9619047619047619,0.9090909090909091
7,uniform,0.9809523809523809,0.9090909090909091
8,uniform,0.9809523809523809,0.9090909090909091
9,uniform,0.9714285714285714,0.9090909090909091
10,uniform,0.9809523809523809,0.9090909090909091
11,uniform,0.9714285714285714,0.9090909090909091
12,uniform,0.9809523809523809,0.9090909090909091
13,uniform,0.9714285714285714,0.8636363636363636
14,uniform,0.9809523809523809,0.9090909090909091
15,uniform,0.9809523809523809,0.8636363636363636
16,uniform,0.9809523809523809,0.8636363636363636
17,uniform,0.9619047619047619,0.8636363636363636
18,uniform,0.9619047619047619,0.8636363636363636
19,uniform,0.9619047619047619,0.8636363636363636
20,uniform,0.9619047619047619,0.8636363636363636
21,uniform,0.9714285714285714,0.8636363636363636
22,uniform,0.9428571428571428,0.8636363636363636
23,uniform,0.9428571428571428,0.8636363636363636
24,uniform,0.9047619047619048,0.8636363636363636
25,uniform,0.9142857142857143,0.8636363636363636
26,uniform,0.9142857142857143,0.8636363636363636
27,uniform,0.9047619047619048,0.8636363636363636
28,uniform,0.8857142857142857,0.8636363636363636
29,uniform,0.8952380952380953,0.8636363636363636
30,uniform,0.8857142857142857,0.8636363636363636
1,distance,1.0,0.9090909090909091
2,distance,1.0,0.9090909090909091
3,distance,1.0,0.9090909090909091
4,distance,1.0,0.9090909090909091
5,distance,1.0,0.9090909090909091
6,distance,1.0,0.9090909090909091
7,distance,1.0,0.9090909090909091
8,distance,1.0,0.9090909090909091
9,distance,1.0,0.9090909090909091
10,distance,1.0,0.9090909090909091
11,distance,1.0,0.9090909090909091
12,distance,1.0,0.9090909090909091
13,distance,1.0,0.9090909090909091
14,distance,1.0,0.9090909090909091
15,distance,1.0,0.9090909090909091
16,distance,1.0,0.8636363636363636
17,distance,1.0,0.9090909090909091
18,distance,1.0,0.8636363636363636
19,distance,1.0,0.8636363636363636
20,distance,1.0,0.8636363636363636
21,distance,1.0,0.8636363636363636
22,distance,1.0,0.8636363636363636
23,distance,1.0,0.8636363636363636
24,distance,1.0,0.8636363636363636
25,distance,1.0,0.8636363636363636
26,distance,1.0,0.8636363636363636
27,distance,1.0,0.8636363636363636
28,distance,1.0,0.8636363636363636
29,distance,1.0,0.8636363636363636
30,distance,1.0,0.8636363636363636
